query,reply,label
10号404他看吗？,我这边有客户主推您的房子,0
10号404他看吗？,应该的哈,0
10月份有房地产证还是教学楼,好房子,0
10月份有房地产证还是教学楼,只要你还活着,0
10月份有房地产证还是教学楼,好的二手房,0
10月份有房地产证还是教学楼,也可以考虑,0
10月份有房地产证还是教学楼,有时与顾客不符,0
10楼那个房子价格还有没有少,装修，楼层，户型，朝向都是影响价格的因素,0
10楼那个房子价格还有没有少,每套房子情况不一样呀,0
10楼那个房子价格还有没有少,可以去谈,1
110万以內可以约一下,这是电梯房😂😂😂,0
110万以內可以约一下,两套您可以做个对比，看房都方便,0
110万以內可以约一下,110万价格业主应该不会卖的,0
113中学呢,😁,0
113中学呢,我的不是这样的,0
113中学呢,学校排名,0
1150那个能谈到1000吗？,那真有难度😂,0
1150那个能谈到1000吗？,您是说1130那套吧，昨天谈的那个客户出1080万，业主1120万,0
1150那个能谈到1000吗？,合生国际最近成交的是一套3楼的1080万，,0
115万：包含家居家电？,11层的,0
115万：包含家居家电？,目前的话那边暂时只有一个汽车主题公园,0
115万：包含家居家电？,目前这个价格算下来11600的样子,0
115万：包含家居家电？,这套是6楼的,0
115万：包含家居家电？,对的,1
115万：包含家居家电？,房子是看过了吗？,0
115万：包含家居家电？,具体价位得找业主谈,0
115万：包含家居家电？,最近已经少了8万，,0
115万：包含家居家电？,你这边是想买个配套设施齐全的话,0
115万：包含家居家电？,费用都是买方出！,0
115万：包括家电？,你看见房子了吗？,0
115万：包括家电？,具体价格应与业主协商,0
115万：包括家电？,最近减少了8万，,0
115万：包括家电？,成本是买家！,0
115万：包括家电？,目前，只有一个汽车主题公园,0
115万：包括家电？,11层的,0
115万：包括家电？,你想买一整套设备吗,0
115万：包括家电？,目前售价为11600,0
115万：包括家电？,这个在六楼,0
115万：包括家电？,对的,1
118这个价格包括家具和电器，对吗,床垫有7000块,0
118这个价格包括家具和电器，对吗,如果你喜欢这房子，你就得早点做决定。下午2点你和客户有个约会，谈得好之后就把它卖了,0
118这个价格包括家具和电器，对吗,你为什么不留个电话？当我们有今天约会的结果时，我会通知你的,0
118这个价格包括家具和电器，对吗,或者好房子也可以及时联系你,0
118这个价格包括家具和电器，对吗,空房、家具、电器都不便宜买,1
118这价是包含家具家电是吧,或者有好房子也能及时联系您,0
118这价是包含家具家电是吧,要不您留个电话，今天约谈后有结果了跟您说一声,0
118这价是包含家具家电是吧,您如果喜欢这个房子得早做决定，下午两点有客户约面谈，谈好了就卖了,0
118这价是包含家具家电是吧,床垫就得7000,0
118这价是包含家具家电是吧,空房，家具家电另算，那些买下来不便宜呢,1
120双税可以接受,有个满二小两室户型也是通透,0
120双税可以接受,博雅有个可以看看,0
120双税可以接受,精装修,0
120双税可以接受,报价 126满二,0
120双税可以接受,可以加你个微信给你推荐几套合适的,0
120双重征税是可以接受的,有一个完整的两个小两房的公寓也是透明的,0
120双重征税是可以接受的,博雅有一个要看,0
120双重征税是可以接受的,精装修,0
120双重征税是可以接受的,可以加个微信给你推荐几套合适的,0
120双重征税是可以接受的,报价单126全2,0
120可以卖吗,空间不大，业主平时也忙，有诚意的话先实地看，价格的话可能在138左右这样子,1
120可以卖吗,那做不到😂,0
120可以卖吗,先来看下房子呗,0
124这个能便宜吗,最多能谈一两万吧差不多,1
124这个能便宜吗,124目前是到手的价格,0
124这个能便宜吗,三室精装就228那一套,0
130万包括房子里的一切吗？,3楼的,0
130万包括房子里的一切吗？,大概两三万,0
130万包括房子里的一切吗？,家具和家用电器一般不会被拿走,1
130万包括房子里的一切吗？,是的,0
130万包括房子里的一切吗？,前面没有避难所。灯光没问题,0
130万含房子里所有物品吗？,是的,0
130万含房子里所有物品吗？,大概两三万的空间,0
130万含房子里所有物品吗？,3楼的,0
130万含房子里所有物品吗？,家具家电一般都不带走的,1
130万含房子里所有物品吗？,前面基本没遮挡，室内采光还可以,0
135万能,照顾好你这边的房子。我们会和你谈谈的,0
135万能,请留下联系方式,0
135万能,我怎么称呼你,0
135万能谈吗,怎么称呼您,0
135万能谈吗,您留个联系方式,0
135万能谈吗,您那面看好房子，我们给您谈,0
13楼交税多吗,但是三月已经两年了,0
13楼交税多吗,不满二有大税,1
13楼交税多吗,业主配合转让全部两个,0
13楼交税多吗,这一套将于四月开播,0
13楼方便的话看下吧,好的,0
13楼方便的话看下吧,现在过去，你下来看呗,0
13楼方便的话看下吧,可以的，你几点有空过来,1
13楼这个有大税么,但三月份就满二年了,0
13楼这个有大税么,不满二有大税,1
13楼这个有大税么,这套4月份满二,0
13楼这个有大税么,房主配合满二过户,0
1450以下有可能嘛,到时竭尽全力去谈,1
1450以下有可能嘛,1450有点低了，反正先试试呗,0
1450以下有可能嘛,我和业主很熟,0
147单元02？,装修还可以,0
147单元02？,是的,0
147单元02？,嗯嗯,1
147单元02？,这是正确的,1
147单元02？,好的,0
147号02户型的吗？,嗯嗯,1
147号02户型的吗？,好的,0
147号02户型的吗？,是的,0
147号02户型的吗？,没错 这套,1
147号02户型的吗？,装修还可以,0
14层的那套有税吗,没有个税的哦,1
14层的那套有税吗,您看这样可以不呢,0
14层的那套有税吗,?,0
14层的那套有税吗,具体的还没有弄,0
14层的那套有税吗,这是我们简单板的,0
14楼有税吗,?,0
14楼有税吗,我还没弄清楚细节,0
14楼有税吗,这是我们简单而僵硬的一个,0
14楼有税吗,不征收个人所得税,1
14楼有税吗,你觉得这样行吗,0
150万美元是不可能的吗,还没呢,0
150万美元是不可能的吗,150万太低了卖不出去,1
150万美元是不可能的吗,这是不可能的。我最近见过很多,1
150万能谈吗,您好,0
150万能谈吗,太低了,0
150万能谈吗,150卖不了,1
150有证吗,有产证,1
150有证吗,您这边就是我们一个点的中介费，百分之一的土地出让金和百分之1.5的契税,0
150有证吗,可以按揭,0
150有证吗,您是首套吧,0
150次会谈,太低了,0
150次会谈,150卖不出去,1
150次会谈,您好,0
152可以看到,好,0
152可以看到,我能在6点左右看吗,0
152可以看到,我问哈，,0
152那个可以看看,我问哈，,0
152那个可以看看,6点左右可以看不,0
152那个可以看看,好,0
1540那套晚上能看嘛, 那套是北花园的,0
1540那套晚上能看嘛,449，差不多的,0
1540那套晚上能看嘛,老头这套是南花园,0
165万这个价格可以商量吗？,能商量商量,1
165万这个价格可以商量吗？,这套公寓是东方巴黎最好的,0
165万这个价格可以商量吗？,我们以前有一笔13500英镑的交易,0
165万这个价格可以商量？,这个户型是东方巴黎最好的户型,0
165万这个价格可以商量？,能商量商量,1
165万这个价格可以商量？,之前成交过 13500,0
16栋是靠东边还是靠西边,如果你目前只是了解不急于买房我也可以给你介绍介绍为你以后买房打下基础，了解的越多你能越了解你想买的房子是怎样的,0
16栋是靠东边还是靠西边,1栋是物业,0
16栋是靠东边还是靠西边,你好，中环地产万国庆很高兴为你服务,0
16栋是靠东边还是靠西边,您好，中央地产万国庆，很高兴为您服务,0
16栋是靠东边还是靠西边,一是房产,0
16栋是靠东边还是靠西边,如果你现在知道不买房子，我也可以介绍你为你以后买房子打下基础。你知道的越多，你就越能理解你想买什么房子,0
1750这套临街吗？,临街,1
1750这套临街吗？,早上好😊,0
17号楼有没有毛坯？,但是是一层的,0
17号楼有没有毛坯？,有一套,0
17号楼有没有毛坯？,对,0
17号楼有没有毛坯？,可以吗,0
17号楼有空位吗？,对,0
17号楼有空位吗？,可以吗,0
17号楼有空位吗？,但是在一楼,0
17号楼有空位吗？,有一套,0
180可以卖,好吧,0
180可以卖,下半年市场并不明朗,0
180可以卖,180我想很快就会卖了,0
180能卖哇,好吧,0
180能卖哇,下半年不清楚行情,0
180能卖哇,180估计马上就卖了,0
188的那个这回能看吗？,您今天还是,0
188的那个这回能看吗？,您过来之前我给业主打电话去物业拿钥匙,1
188的那个这回能看吗？,您几点能到,0
18年的房子，税高吗,满二,0
18年的房子，税高吗,光这三个税7.8个点，下来265200,1
18年的房子，税高吗,可以考虑哈155的四室，不带花园么,0
18年的房子，税高吗,对，100万53000么，300万都17万了,1
18年的房子，税高吗,高,1
18年的房子，高税收,高,1
18年的房子，高税收,只有这三个税种是7.8分，下降了26.52万,1
18年的房子，高税收,是的，170000万,1
18年的房子，高税收,你能考虑一下哈155没有花园的四个房间吗,0
18年的房子，高税收,满二,0
1900年现状？,他不必谈这个。我和他谈了很久，他说，好吧，少200元，第一个月少200元,0
1900年现状？,他不愿意,0
1900年现状？,2000,0
1900年现状？,老板有点难说话。她会遇到合适的主人,1
1900年现状？,?,0
1900现状？,2000,0
1900现状？,?,0
1900现状？,这个业主有点不好说话，她都要遇到那个对的主了,1
1900现状？,他没得谈的，他我跟他谈了半天，他就说嗯，少200块钱，首月少200块钱,0
1900现状？,他不愿意,0
19年买入的？,是的！,1
19年买入的？,房东这边卖了买,0
19年买入的？,学区未用,0
19年买入的？,看上其他房源了,0
19年买入的？,是的,0
19年买的？,是的！,1
19年买的？,房东在这里卖的,0
19年买的？,我喜欢其他房子,0
19年买的？,是的,0
19年买的？,学区未用,0
19楼的税是多少？,房子是新房，目前报价162万，与市场价一致。,0
19楼的税是多少？,新房，我跟房主确认交税。你什么时候有空？,0
19楼的税是多少？,先看看房子,0
19楼的税是多少？,可以聊,0
19楼的税是多少？,看看这种房子。共有三房两梯四户两种户型。中间的两个家庭是超南朝北的,0
19楼税费多少钱？,您看一下这种户型，恒大小三房一共这两种 两梯四户，中间两户超南 边户朝北,0
19楼税费多少钱？,可以聊,0
19楼税费多少钱？,先看看房子吧,0
19楼税费多少钱？,新上房源，我跟业主确认一下税费。您大概什么时间有空？,0
19楼税费多少钱？,这个房子是新上的，目前报价162万，这个价位也符合市场价。,0
1号楼和10号楼是三期？,我以前见过。你感觉怎么样。,0
1号楼和10号楼是三期？,老师，你看到这里的房子了吗,0
1号楼和10号楼是三期？,老师，这个社区的质量一定不错,0
1号楼和10号楼是三期？,你应该看看这房子,0
1栋和10栋都是三期？,老师您看过这边房子没有,0
1栋和10栋都是三期？,老师这个小区品质不得差哦,0
1栋和10栋都是三期？,那这个房子您应该看过的哦,0
1栋和10栋都是三期？,之前看了感觉怎么样。,0
1栋是靠外面的路还是靠里面的路，我忘记了,最近有时间吗,0
1栋是靠外面的路还是靠里面的路，我忘记了,靠外面,1
1栋是靠外面的路还是靠里面的路，我忘记了,可以来现场看下,0
1楼采光，虫子什么的 要好好考虑下的,带一个小车库,0
1楼采光，虫子什么的 要好好考虑下的,有一套7楼带电梯的房子，小区小，环境好。现在有一套三楼的房子在卖,0
1楼采光，虫子什么的 要好好考虑下的,虫子是一方面，采光也有些影响的,1
1楼采光，虫子什么的 要好好考虑下的,车库有十一平多，您感觉这套怎么样？老城区那边可以接受吗？,0
1楼采光，虫子什么的 要好好考虑下的,您看这套，这套户型，南北通透，三楼，总高七楼。,0
1楼，2楼，4楼，8楼都是没有大稅的？,除非别人刚买了就卖,0
1楼，2楼，4楼，8楼都是没有大稅的？,只有交易过才会有大税,0
1楼，2楼，4楼，8楼都是没有大稅的？,因为是一手的安置房,0
1楼，2楼，4楼，8楼都是没有大稅的？,那个小区就没有大税,1
1楼，2楼，4楼，8楼都是没有大稅的？,在呢,0
2.7完全不能少吗,总监的关系户也够呛，更高层领导有希望,0
2.7完全不能少吗,可以申请，但具体多少总监说了算,0
2.7完全不能少吗,谁说的可以2.4啊，这么瞎承诺还没离职呢嘛，哈哈,0
2.7是否绝对必要,行政长官和上级领导的关系是有希望的,0
2.7是否绝对必要,谁说可以是2.4，所以盲目承诺还没离开工作岗位，呵呵,0
2.7是否绝对必要,你可以申请，但有多少董事有最终决定权？,0
200000行吗,稍等一下,0
200000行吗,好吧，可能会晚一点，因为我们可以联系按揭部门，确定房子的贷款金额,0
200000行吗,57万，对吧,0
2000万能下来？,买不到的,1
2000万能下来？,您好，世纪公园这边有一套开发商请退出来的高区现房，2120万左右，您考虑吗？,0
2000万能下来？,这房子真的很不错，地段位置，比陆家嘴好太多，一年四季景观，地铁口，2号线世纪公园站0距离，,0
2000就是一切？,这房子真不错。地理位置比陆家嘴好多了。这里一年四季都有景色。地铁入口，2号线世纪公园站，,0
2000就是一切？,买不到的,1
2000就是一切？,您好，世纪公园这里有一套高层现房请开发商退出，约2120万，您愿意考虑吗？,0
2019年交的房 税应该不少吧,没有，只有两个点，一个契税，一个个税，因为他的契税票过两年没有大税。,1
2019年交的房 税应该不少吧,虽然房本刚下，但契税票好早以前就下了房子过两年的。,1
2019年交的房 税应该不少吧,没事，您客气,0
2019年交的房 税应该不少吧,方便可以留个电话,0
2019年交的房 税应该不少吧,沟通起来方便一点,0
2019年应该交很多房产税,不，只有两点，一是契税，二是个人所得税，因为他两年的契税账单上没有大税。,1
2019年应该交很多房产税,虽然房子刚下过，但契税罚单已经下了两年了。,1
2019年应该交很多房产税,更容易沟通,0
2019年应该交很多房产税,留个电话很方便,0
2019年应该交很多房产税,没关系。不客气,0
2020年5月买的1手？,2016年买的,1
2020年5月买的1手？,2019年底才办的契税,1
2020年5月买的1手？,不是啊,1
205您觉得最便宜多少钱可以买下来,毛坯的您考虑的价格在多少啊,0
205您觉得最便宜多少钱可以买下来,我可以给您去谈一下,0
205您觉得最便宜多少钱可以买下来,600应该差不多,1
20万可以了吗,好的，可能要迟一些，因为联系按揭部门确定房子的贷款额度,0
20万可以了吗,稍等一下,0
20万可以了吗,要57万这套对不,0
20多万首付？,按照六七万的房款，我给你首付30万。,1
20多万首付？,请稍等。我来帮你计算。,0
20多万首付？,你今年多大了？,0
210的 晚上能不能看房,我问一下下,1
210的 晚上能不能看房,我先约房子吧,0
210的 晚上能不能看房,看看能不能看！到时候我让我师妹去接你,0
230能搞定吗,试试吧,1
230能搞定吗,还有,0
230能搞定吗,就几套了，马上清盘了,0
240万这个还有价格空间吗,有时间可以先看看房？,0
240万这个还有价格空间吗,125，178的还有大面积的都是毛坯交付,0
240万这个还有价格空间吗,需要再和房主谈,1
24号楼在马路附近吗,不挨大门,0
24号楼在马路附近吗,这房子以前卖了268万,0
24号楼在马路附近吗,这是条小道,1
24号楼靠近马路吗,不挨大门,0
24号楼靠近马路吗,是条小马路,1
24号楼靠近马路吗,这个房子之前成交价都在268万,0
25000一平有可能吗？,16年了，,0
25000一平有可能吗？,这个房型的业主之前心气都比较好,0
25000一平有可能吗？,高,0
25000一平有可能吗？,这类房子的主人以前心情很好,0
258万仍可讨价还价,我还能说什么？你以前见过吗,1
258万仍可讨价还价,房子在8楼，是一栋中高层建筑，共12层,0
258万仍可讨价还价,这是你第一次买吗,0
258万还能讲价的么,还可以讲的，您之前有去看过吗,1
258万还能讲价的么,这套房子在8楼，是中高层楼，总楼层12层,0
258万还能讲价的么,您这边是首套购买吗,0
260是一个中门,260是的,1
260是一个中门,255是东区的房子,1
260是一个中门,247是一个特殊的单位,0
260的是中间户啊,255的是东边户,1
260的是中间户啊,260的是的,1
260的是中间户啊,247的是特殊单元,0
265是含家具家电？,看中还可以谈的,0
265是含家具家电？,真是存在的,0
265是含家具家电？,包含的,1
265是含家具家电？,您有其他问题咨询吗,0
265是含家具家电？,您这边什么时候有空来呢,0
265是带家具的家用电器吗？,它真的存在,0
265是带家具的家用电器吗？,你还有其他问题吗,0
265是带家具的家用电器吗？,你什么时候有空,0
265是带家具的家用电器吗？,你可以谈谈,0
265是带家具的家用电器吗？,包含的,1
26号怎么样，冬天的灯光怎么样,差不多吧,0
26号怎么样，冬天的灯光怎么样,一室的,0
26号怎么样，冬天的灯光怎么样,可以,0
26号怎么样，冬天的灯光怎么样,老房子的出租率还可以,0
26号怎么样，冬天的灯光怎么样,32平,0
270价格能让多少,10楼都挂320万了。,0
270价格能让多少,挂的已经很低了,0
270价格能让多少,让不了多少唉,1
270价格能赚多少钱,已经很低了,0
270价格能赚多少钱,我不太明白,1
270价格能赚多少钱,320万在10楼。,0
28号楼在哪里,其他社区？,0
28号楼在哪里,在南外环附近,1
28号楼在哪里,是的，所以比较便宜,0
28栋在哪个位置,其他小区考虑吗？,0
28栋在哪个位置,靠近南外环那边,1
28栋在哪个位置,是的，所以价钱比较便宜点,0
2万定金能退吗,估计可以退，视情况而定,0
2万定金能退吗,你还考虑二手货吗？,0
2万的诚意金可以退吗,您现在还考虑二手嘛？,0
2万的诚意金可以退吗,估计可以退，要看是什么情况,0
2号楼01是什么类型的公寓,东西大公寓156,0
2号楼01是什么类型的公寓,南北都大于128,0
2号楼01是什么类型的公寓,朝东的小房子,1
2号楼01是什么类型的公寓,我给您找下户型,0
2号楼01是什么类型的公寓,您客气,0
2号楼在十字路口的四楼，对吗？,9号楼没问题,0
2号楼在十字路口的四楼，对吗？,低,0
2号楼在十字路口的四楼，对吗？,嗯嗯,0
2号楼在十字路口的四楼，对吗？,也是底层,0
2号楼在十字路口的四楼，对吗？,这房子还在出售,0
2号楼就十字路口那个四楼毛胚吧？,这套房子还在售哦,0
2号楼就十字路口那个四楼毛胚吧？,嗯嗯,0
2号楼就十字路口那个四楼毛胚吧？,也是底层,0
2号楼就十字路口那个四楼毛胚吧？,低,0
2号楼就十字路口那个四楼毛胚吧？,9号楼这个还可以,0
2号楼有高税吧,这个我明天给您问下吧,0
2号楼有高税吧,对,1
2号楼有高税吧,不着急,0
2号楼有高税吧,我还真没问过他,0
2号楼有高税吧,哈哈哈,0
2号楼的01是什么户型啊,我给您找下户型,0
2号楼的01是什么户型啊,东西 大户型156的,0
2号楼的01是什么户型啊,朝东小户型,1
2号楼的01是什么户型啊,南北大一些128的,0
2号楼的01是什么户型啊,您客气,0
2号楼的税高吗,哈哈哈,0
2号楼的税高吗,不着急,0
2号楼的税高吗,我没问他,0
2号楼的税高吗,我明天再问你这个问题,0
2号楼的税高吗,对,1
2层这套不临街？房主底价可以多少？,也是8号楼3层2层的,0
2层这套不临街？房主底价可以多少？,有的。他家孩子刚毕业。,0
2层这套不临街？房主底价可以多少？,两个小区设计理念一样，没有太大区别,0
2楼左右的单价怎么样？,首套90平以内是1%，90平以上是1.5%,0
2楼左右的单价怎么样？,佣金是1.2,0
2楼左右的单价怎么样？,您加我微信了吗,0
2楼左右的单价怎么样？,看装修，要是也是这种南北通厅通卧的户型，老式装修单价得8200左右，装修好点的得8500左右,1
2楼左右的单价怎么样？,您这是第几套房,0
2楼这套给256万能谈下来吗,我可以帮您递个价给业主聊聊 咱俩在沟通 方便您给我留个您的联系方式吧😊也方便咱们沟通,0
2楼这套给256万能谈下来吗,我可以努力去帮你试试,1
2楼这套给256万能谈下来吗,不过2楼的比这个也大小20平呢😆我估计应该能高一点点,0
2楼那套在北区还是南区,这套是在北区的,1
2楼那套在北区还是南区,好的,0
2楼那套在北区还是南区,3期,0
2楼那套在北区还是南区,加微信说吧，您微信号多少,0
2楼那套在北区还是南区,？,0
2楼，遮挡情况怎么样呀？,在客厅窗户那可以改,0
2楼，遮挡情况怎么样呀？,这个没事，我走过很多这种有抵押的单子，还钱不经过业主手，我们公司风控操作，压房本的,0
2楼，遮挡情况怎么样呀？,抵押经营贷380万,0
2楼，遮挡情况怎么样呀？,这是6层的,0
2楼，遮挡情况怎么样呀？,方便,0
3-301约看不了吗？,以后孩子大了，可能你们就又换了,0
3-301约看不了吗？,现在业主也不愿意让看,1
3-301约看不了吗？,亮哥，要不就买那个二层的吧,0
3.3我们能谈谈吗,是的，是的,0
3.3我们能谈谈吗,户籍在房子里可以搬出去，业主配合,0
3.3我们能谈谈吗,这是我的同事维护的,0
3.3能谈下来了吗,嗯嗯，可以,0
3.3能谈下来了吗,房子里户口可以迁出去，业主配合,0
3.3能谈下来了吗,是我同事维护的,0
300可能吗？,300差点,1
300可能吗？,前几天成交一套320,0
300可能吗？,您现在考虑三室啦,0
300多平方米的房子是什么类型的,是的，好吗？,0
300多平方米的房子是什么类型的,有的,0
300多平方米的房子是什么类型的,上叠,1
300多平方米的房子是什么类型的,我来整理一下房屋清单。你什么时候方便来看看？,0
300多平方米的房子是什么类型的,就考虑一楼吧？,0
300是可能的吗？,现在你在想三号房间,0
300是可能的吗？,300,1
300是可能的吗？,几天前一套320,0
300能下来吗？,我们现在没有,0
300能下来吗？,没有了,0
300能下来吗？,我们之前看的会议还可以,0
30能做下来就去看看房子,首付3成 也要30万出头一点点,0
30能做下来就去看看房子,你这边只有30万嘛？,0
30能做下来就去看看房子,30万,0
3202似乎是毛坯，难道是3205？,哦哦  ,0
3202似乎是毛坯，难道是3205？,楼层高的呀 采光肯定好的呀 ,0
3202似乎是毛坯，难道是3205？,我知道了 微信聊吧 ,0
3202似乎是毛坯，难道是3205？,嗯  有兴趣可以带你看 我朋友家的 ,0
3202似乎是毛坯，难道是3205？,具体情况就是 朋友诚心卖 家具家电全留 没大税  ,0
3202似乎是毛坯，难道是3205？,地板很高。灯光一定很好,0
3202似乎是毛坯，难道是3205？,具体情况是，朋友真诚地出售家具和家用电器，不收大税,0
3202似乎是毛坯，难道是3205？,如果你感兴趣，我可以带你去我朋友的房子,0
3202似乎是毛坯，难道是3205？,我知道。我们微信聊天吧,0
330能拿下来吗,有小孩所以不方便疫情,0
330能拿下来吗,之前着急卖,0
330能拿下来吗,疫情不方便看,0
330能谈下来吗,😂,0
330能谈下来吗,这个差距太大了,0
330能谈下来吗,业主目前那个价格卖不了😅,1
340万，有可能吗？,业主给我们的底价是350万元，我们可以谈345万元，340万元太多了,1
340万，有可能吗？,3万左右,0
340万，有可能吗？,业主给我们的底价是350万不承担出租违约金，所以您说345万咱们还可以谈谈，340万那就差太多了,1
340万，有可能吗？,没有,0
348能看吗？,有抵押,0
348能看吗？,租客在住不让看,1
348能看吗？,只能看同户型,1
35万 可卖？,这个可以具体再谈,1
35万 可卖？,我来给您沟通下！,0
35万 可卖？,嗯嗯！,0
35万？,这可以详细讨论,1
35万？,让我和你交流！,0
35万？,嗯嗯！,0
35岁最低多少钱？,学位好，价格便宜,0
35岁最低多少钱？,华富家莲花北,0
35岁最低多少钱？,500,1
35平最低多少钱？,学位不错，总价低,0
35平最低多少钱？,华富加莲花北,0
35平最低多少钱？,500,1
380如果各付各税，，也可以考虑入手,高层一点点也不会那个价吧，售楼部的75方2房15楼以上也要400万。,0
380如果各付各税，，也可以考虑入手,是卖光了呀，去年年底的价格。,0
380如果各付各税，，也可以考虑入手,哎…400万，各付税，15楼，挺好的一个盘。😖,0
385万的今晚能看吗,方便留个联系方式吗,0
385万的今晚能看吗,您今晚什么时候看呀,1
385万的今晚能看吗,留下联系方式方便吗,0
385万的今晚能看吗,我来约一下,1
385万的今晚能看吗,你今晚什么时候看,1
385万的今晚能看吗,我会预约的,1
39是初中和高中都有吗,您知道展览馆吗？,0
39是初中和高中都有吗,是呢,0
39是初中和高中都有吗,芳汀花园小区,0
3区位于1区以南，靠近球道,哦……,0
3区位于1区以南，靠近球道,我从没去过那里,0
3区位于1区以南，靠近球道,该跑了,0
3楼和7楼同一个户型？,不客气的,0
3楼和7楼同一个户型？,那就是有贷款记录的，那需要首付四成的,0
3楼和7楼同一个户型？,请问您这边是全国无贷款记录吗？,0
3楼和7楼同一个户型？,这个是2楼的,0
3楼和7楼同一个户型？,同户型，7楼的采光好,1
400万能卖吗,没有了,0
400万能卖吗,不行，上次有客户出422都没签,0
400万能卖吗,业主现在425万签字,1
40先付，不交税？,所得税13000，所得税13000,1
40先付，不交税？,贷款90万元,1
40先付，不交税？,房东善意地卖掉了它,0
40年产权的是税费高吗,我这边加您了，您同意一下,0
40年产权的是税费高吗,我先加您微信,0
40年产权的是税费高吗,你名下在昆明是第几套房子？,0
40年产权的是税费高吗,是呢,0
40年产权的是税费高吗,个人所得税1个点，契税也是1个点,1
40年产权税高吗,你在昆明叫什么样的房子？,0
40年产权税高吗,是呢,0
40年产权税高吗,我先加你的微信,0
40年产权税高吗,我在这里加上你。请同意,0
40年产权税高吗,个人所得税是一分，契税也是一分,1
415可以看一下,买不了,0
415可以看一下,谈过了,0
415可以看一下,没有这么大的差距,0
41号楼8层能看吗,是这套吧,0
41号楼8层能看吗,可以看房,1
41号楼8层能看吗,我问问,1
428万那个房子最低多少钱啊,业主不想低于420万,1
428万那个房子最低多少钱啊,有钥匙，看房也方便～,0
428万那个房子最低多少钱啊,嗯嗯，可以的,0
428万，那套房子最低多少钱,有了钥匙，就很容易看到房子,0
428万，那套房子最低多少钱,业主不想少于420万,1
428万，那套房子最低多少钱,是的，是的,0
430不是卖的吗？,我那天送你这房子，就是为了让你比较一下，让你来看看房子,0
430不是卖的吗？,那是前一个客户。我们一直在为业主工作,0
430不是卖的吗？,楼上的,0
460那套最低多少钱？,现在也没什么合适的，460这个也看过就是装修好些吧,0
460那套最低多少钱？,比去年卖的确实高了些,0
460那套最低多少钱？,450,1
480那套能看房吗？,我问问,1
480那套能看房吗？,最近有时间过来看看房子吗？,0
480那套能看房吗？,业主今天不正这边，5.1过来，到时候可以看房。,1
5.1你能安排一下吗,我有钥匙，,1
5.1你能安排一下吗,随时,1
5.1你能安排一下吗,是的，什么时候,0
5.1能安排看看嘛,我有钥匙，,1
